id_eleve,serie_cible,math,physique,svt,francais,histoire,aptitude_logique,niveau_motivation,centre_interet,interesse_par_informatique,moyenne_generale
NS11801,SMP,85.0,78.0,53.0,68.0,55.0,3.0,Élevée,Sciences et technologie,Oui,67.8
NS11190,SVT,86.0,62.0,87.39742473271028,62.0,53.64498042612915,4.0,Élevée,Santé et environnement,Non,70.2
NS11817,LLA,71.0,21.1193304877998,64.0,97.0,70.99566009326713,2.0,Très élevée,Arts et culture,Non,64.8
NS10251,SMP,75.0,74.0,80.0,66.0,61.0,4.0,Élevée,Informatique,Oui,71.2
NS12505,SES,80.0,60.0,60.0,78.0,85.0,2.0,Très élevée,Économie et société,Non,72.6
NS11117,SVT,64.0,62.0,82.0,73.0,64.0,4.0,,Sciences et technologie,Non,69.0
NS11411,LLA,57.0,39.0,,86.0,71.0,3.0,Élevée,Arts et culture,,61.4
NS12113,SMP,79.0,96.0,49.0,59.0,49.0,4.0,Élevée,Sciences et technologie,Non,66.4
NS10408,SMP,69.0,64.0,65.0,66.0,66.0,3.0,Très élevée,Informatique,Oui,66.0
NS12579,SES,69.0,44.0,59.0,72.0,70.0,2.0,Élevée,Économie et société,Non,62.8
NS12254,SMP,85.0,94.0,68.0,80.0,,5.0,Moyenne,Sciences et technologie,Oui,77.4
NS10052,SVT,64.0,77.0,73.0,73.0,60.0,4.0,Très élevée,Santé et environnement,Non,69.4
NS10644,SMP,86.0,90.0,74.0,60.0,55.0,5.0,Élevée,Sciences et technologie,Non,73.0
NS11763,SMP,77.0,61.0,72.0,65.0,54.0,5.0,Élevée,,Oui,65.8
NS12776,LLA,64.0,0.0,63.0,94.0,81.0,1.0,Très élevée,Lettres et langues,Non,70.2
NS10900,SES,75.0,52.0,50.0,91.0,,2.0,Très élevée,Économie et société,Oui,70.8
NS11073,LLA,70.0,56.0,52.0,83.0,76.0,3.0,Élevée,Lettres et langues,Oui,67.4
NS10472,SMP,90.0,78.0,55.0,54.0,68.0,4.0,Élevée,Informatique,Non,69.0
NS12738,SVT,55.0,0.0,90.0,63.0,87.0,4.0,Très élevée,Sciences et technologie,Oui,76.0
NS12546,SMP,71.0,87.0,53.0,69.0,49.0,3.0,Élevée,Sciences et technologie,Non,65.8
NS10044,SMP,68.0,79.0,73.0,62.0,60.0,3.0,,Sciences et technologie,Non,68.4
NS10289,LLA,44.0,42.0,61.0,89.0,65.0,2.0,Très élevée,Arts et culture,Oui,60.2
NS10912,LLA,49.0,42.0,63.0,95.0,88.0,,Très élevée,Arts et culture,Oui,67.4
NS12083,SMP,76.0,,54.0,64.0,69.0,5.0,Moyenne,Sciences et technologie,Oui,68.8
NS11360,SES,55.0,60.0,58.0,75.0,80.0,3.0,Très élevée,Économie et société,Oui,65.6
NS12895,SES,68.0,60.0,53.0,70.0,,4.0,Très élevée,Sciences et technologie,Non,64.2
NS12603,LLA,55.0,58.0,51.0,99.0,,3.0,Élevée,Lettres et langues,Oui,68.0
NS11226,SES,75.0,,54.0,76.0,82.0,3.0,Élevée,Économie et société,Non,67.4
NS10296,SMP,0.0,96.0,80.0,59.0,56.0,3.0,Élevée,Sciences et technologie,Non,75.8
NS11241,LLA,59.0,45.0,62.0,100.0,74.0,3.0,Très élevée,Arts et culture,Non,68.0
NS11005,SMP,82.0,100.0,62.0,72.0,67.0,4.0,Élevée,Sciences et technologie,Oui,76.6
NS11665,SES,71.0,51.0,45.0,74.0,87.0,2.0,Très élevée,Sciences et technologie,Non,65.6
NS10746,LLA,47.0,43.0,57.0,95.0,83.0,3.0,Très élevée,Arts et culture,Non,65.0
NS12851,SVT,87.0,72.0,82.0,86.0,75.0,4.0,Moyenne,Santé et environnement,Non,80.4
NS10291,SVT,88.0,66.0,65.0,80.0,66.0,4.0,Moyenne,Santé et environnement,Non,73.0
NS10781,SES,74.0,54.0,44.0,62.0,92.0,3.0,Très élevée,Économie et société,Non,65.2
NS12144,LLA,64.0,63.0,50.0,75.0,78.0,3.0,Élevée,Lettres et langues,Non,66.0
NS10322,SVT,93.0,87.0,86.0,76.0,71.0,4.0,Élevée,Santé et environnement,Oui,82.6
NS10298,SVT,68.0,55.0,89.0,82.0,55.0,4.0,Très élevée,Santé et environnement,Oui,69.8
NS11298,SES,67.0,74.0,68.0,80.0,73.0,,Très élevée,Économie et société,Non,72.4
NS10194,SES,77.0,76.0,56.0,77.0,77.0,3.0,Très élevée,Économie et société,Non,72.6
NS10063,SMP,,,73.0,50.0,80.0,4.0,Très élevée,Informatique,Non,72.4
NS10393,SVT,70.0,76.0,90.0,72.0,70.0,4.0,Très élevée,Sciences et technologie,Non,75.6
NS10727,SES,63.0,50.0,54.0,72.0,88.0,3.0,Très élevée,Économie et société,Non,65.4
NS11583,LLA,55.0,41.0,66.0,91.0,79.0,2.0,Très élevée,Arts et culture,Non,66.4
NS11547,LLA,48.0,40.0,65.0,81.0,95.0,2.0,Très élevée,Arts et culture,Oui,65.8
NS12425,SES,64.0,62.0,66.0,60.0,77.0,4.0,Élevée,Sciences et technologie,Non,65.8
NS10014,SVT,74.0,54.0,80.0,,69.0,,Élevée,Santé et environnement,Oui,71.4
NS12567,SMP,73.0,87.0,78.0,63.0,63.0,4.0,Élevée,Sciences et technologie,Non,72.8
NS11600,LLA,65.0,47.0,55.0,83.0,76.0,4.0,Élevée,Arts et culture,Non,65.2
